#separator:tab
#html:true
"<div id=""kard"">
<div class=""tags"">MileDown::General_Chemistry::Atomic_Structure</div>
<img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-cloze=""Mass&#x20;number"" data-ordinal=""1"">[...]</span></div></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::General_Chemistry::Atomic_Structure</div>
    <img src=""Element Notation (1).png""><div><br><div><div>In element notation, A is the<font color=""#e12727"">&nbsp;</font><span class=""cloze"" data-ordinal=""1"">Mass number</span></div></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Mass Number.png"" /></div><div><br /></div>
<a href=""https://www.khanacademy.org/science/biology/chemistry--of-life/elements-and-atoms/v/introduction-to-the-atom"">Khan Academy Link</a></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
<div><img src=""Osmotic Pressure.png""></div><div><br></div><div>Give the formula for <u>osmotic pressure</u>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Osmotic&#x20;Pressure&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
    <div><img src=""Osmotic Pressure.png""></div><div><br></div><div>Give the formula for <u>osmotic pressure</u>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Osmotic Pressure Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>i&nbsp;=&nbsp;van't Hoff factor<br></div><div><div>M&nbsp;= molarity</div><div>R = gas constant</div><div>T&nbsp;= temperature in Kelvin</div></div><div><br></div><div><img src=""Osmotic Pressure 2.jpg""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=7ZtViSb7eME"">YouTube Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
<div><img src=""Change in Freezing Point.png""></div><div><br></div><div>Give the equation for <u>freezing point depression</u>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Change&#x20;in&#x20;Freezing&#x20;Point&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
    <div><img src=""Change in Freezing Point.png""></div><div><br></div><div>Give the equation for <u>freezing point depression</u>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Change in Freezing Point Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Freezing Point Deperssion.jpg""><div><br></div><div><a href=""https://www.khanacademy.org/science/chemistry/states-of-matter-and-intermolecular-forces/mixtures-and-solutions/v/boiling-point-elevation-and-freezing-point-supression"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
<div><img src=""Change in Boiling Point.png""></div><div><br></div><div>Give the equation for <i>boiling point elevation</i>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Change&#x20;in&#x20;Boiling&#x20;Point&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
    <div><img src=""Change in Boiling Point.png""></div><div><br></div><div>Give the equation for <i>boiling point elevation</i>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Change in Boiling Point Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Boiling Point Elevation.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/chemistry/states-of-matter-and-intermolecular-forces/mixtures-and-solutions/v/boiling-point-elevation-and-freezing-point-supression"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
<div><img src=""Mole Ratio.png""></div><div><br></div><div>Give the equation for <b>mole fraction</b>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Mole&#x20;Ratio&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Equations MileDown::General_Chemistry::Solutions::Equations</div>
    <div><img src=""Mole Ratio.png""></div><div><br></div><div>Give the equation for <b>mole fraction</b>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Mole Ratio Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Mole Fraction.jpg""><div><br></div><div><a href=""https://www.youtube.com/watch?v=WGx1AcQozwM"">YouTube Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
<div>Give the equation for <u>period of a wave</u>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Period&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
    <div>Give the equation for <u>period of a wave</u>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Period.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Period of Wave.png""><div><br></div><div><a href=""https://www.khanacademy.org/science/ap-physics-1/ap-mechanical-waves-and-sound/wave-characteristics-ap/v/amplitude-period-frequency-and-wavelength-of-periodic-waves"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
Give the equation for <i>Snell's law</i>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Snells&#x20;Law&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
    Give the equation for <i>Snell's law</i>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Snells Law Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Snells Law 2 (1).png""></div><div><br></div><div><div><div><img src=""Snells Law.png""></div><div><br></div><div><a href=""https://www.youtube.com/watch?v=DR-8ZRCHCXI"">YouTube Link</a></div></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
Give the formula for <b>index of refraction</b>:<div><br><div></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Index&#x20;of&#x20;Refraction&#x20;2&#x20;&#x28;1&#x29;&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
    Give the formula for <b>index of refraction</b>:<div><br><div></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Index of Refraction 2 (1).png""></span></div></div>
    <div>&nbsp;</div>
    <div id='extra'><div><a href=""https://www.youtube.com/watch?v=DR-8ZRCHCXI"">YouTube Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
<div><img src=""Light Energy.png""></div><div><br></div><div>Give the equation for energy of a photon:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Light&#x20;Energy&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
    <div><img src=""Light Energy.png""></div><div><br></div><div>Give the equation for energy of a photon:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Light Energy Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><div>E = energy of a photon</div>h =&nbsp;Planck’s Constant<div>c = speed of light</div><div>λ = wavelength</div><div>f = photon frequency</div><div><br><div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/photons/v/photon-energy"">Khan Academy Link</a></div></div></div><div><div></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
<div><img src=""Magnification (1).png""></div><div><br></div><div>Give the equation for&nbsp;<b>magnification of a lens</b>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Magnification&#x20;Equation&#x20;2&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
    <div><img src=""Magnification (1).png""></div><div><br></div><div>Give the equation for&nbsp;<b>magnification of a lens</b>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Magnification Equation 2.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Magnification.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/geometric-optics/lenses/v/thin-lens-equation-and-problem-solving"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
Give the <i>thin lens equation</i>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Thin&#x20;Lense&#x20;Equation&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
    Give the <i>thin lens equation</i>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Thin Lense Equation Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>f = focal length<br></div><div>d<sub>i</sub>&nbsp;= distance of image</div><div>d<sub>o</sub>&nbsp;= distance of object</div><div><br></div><div><img src=""Thin Lens Equation 2.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/geometric-optics/lenses/v/thin-lens-equation-and-problem-solving"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
Give the <b>Rydberg formula</b>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Rydberg&#x20;Formula&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Light::Equations</div>
    Give the <b>Rydberg formula</b>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Rydberg Formula Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>Used to determine the <u>wavelength</u> of light emitted or absorbed after an electron moves between energy levels</div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/quantum-physics/atoms-and-electrons/v/emission-spectrum-of-hydrogen"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
<div><img src=""Intensity of Sound.png""></div><div><br></div><div>Give the formula for <i>intensity of sound</i>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Intensity&#x20;of&#x20;Sound&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
    <div><img src=""Intensity of Sound.png""></div><div><br></div><div>Give the formula for <i>intensity of sound</i>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Intensity of Sound Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><img src=""Intensity of Sound 2.png""><div><br></div><div><a href=""https://www.youtube.com/watch?v=cbNLTscrlZY"">YouTube Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
Give the equation for the length of a&nbsp;<u>wave</u>&nbsp;in a pipe that has&nbsp;<i>one closed end</i>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Pipe&#x20;One&#x20;Open&#x20;End&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
    Give the equation for the length of a&nbsp;<u>wave</u>&nbsp;in a pipe that has&nbsp;<i>one closed end</i>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Pipe One Open End Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Closed Pipe.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/ap-physics-1/ap-mechanical-waves-and-sound/standing-waves-ap/v/standing-waves-on-strings"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
Give the equation for the length of a <u>wave</u> in a pipe that has <b>two&nbsp;open ends</b>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Pipe&#x20;Two&#x20;Open&#x20;Ends&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
    Give the equation for the length of a <u>wave</u> in a pipe that has <b>two&nbsp;open ends</b>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Pipe Two Open Ends Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Open Pipe.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/ap-physics-1/ap-mechanical-waves-and-sound/standing-waves-ap/v/standing-waves-on-strings"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
<div><img src=""Beat Frequency.png""></div><div><br></div><div>Give the equation for the <i>frequency of a beat</i> created by two sound waves that are of different frequency:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Beat&#x20;Frequency&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
    <div><img src=""Beat Frequency.png""></div><div><br></div><div>Give the equation for the <i>frequency of a beat</i> created by two sound waves that are of different frequency:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Beat Frequency Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Beat Frequency.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/mechanical-waves-and-sound/standing-waves/v/derivation-of-beat-frequency-formula"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
<div><img src=""Doppler Effect 3.png""></div><div><br></div><div>Give the equation for the observed frequency during the <b>doppler effect</b>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Doppler&#x20;Effect&#x20;2&#x2E;jpg&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Waves::Equations</div>
    <div><img src=""Doppler Effect 3.png""></div><div><br></div><div>Give the equation for the observed frequency during the <b>doppler effect</b>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Doppler Effect 2.jpg""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><a href=""https://www.khanacademy.org/science/physics/mechanical-waves-and-sound/doppler-effect/v/doppler-effect-formula-for-observed-frequency"">Khan Academy Link</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
Give the equation for&nbsp;<i>density</i>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Density&#x20;2&#x2E;jpg&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
    Give the equation for&nbsp;<i>density</i>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Density 2.jpg""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><a href=""https://www.youtube.com/watch?v=SimFy9wOMXY"">YouTube Link</a><br></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
Give the equation for&nbsp;<u>pressure</u>:<div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Pressure&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
    Give the equation for&nbsp;<u>pressure</u>:<div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Pressure Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>Pressure = force / area</div><div><br></div><div>Pressure is exerted by a fluid on the&nbsp;walls of its container and on objects placed in the fluid</div><div><br></div><div><img src=""Fluid Pressure on Object.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/fluids/density-and-pressure/a/pressure-article"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
<div><img src=""Pressure Fluid.png""></div><div><br></div><div>Give the equation for <u>pressure in a fluid</u>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Pressure&#x20;Fluid&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
    <div><img src=""Pressure Fluid.png""></div><div><br></div><div>Give the equation for <u>pressure in a fluid</u>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Pressure Fluid Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>Absolute Pressure = (pressure at the surface of the fluid) + (pressure&nbsp;due to the fluid's weight)<br></div><div><div><br></div><div><img src=""Absolute Pressure.png""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/fluids/density-and-pressure/a/pressure-article"">Khan Academy Link</a></div></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
<div><img src=""Buoyant Force Blank.png""></div><div><br></div><div>Give the equation for <b>buoyant force</b>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Buoyant&#x20;Force&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
    <div><img src=""Buoyant Force Blank.png""></div><div><br></div><div>Give the equation for <b>buoyant force</b>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Buoyant Force.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><div>If F<sub>B</sub>&nbsp;&gt; m<sub>object</sub>, then the object floats</div><div>If F<sub>B</sub>&nbsp;&lt;&nbsp;m<sub>object</sub>, then the object sinks</div></div><div><br></div><div><img src=""Archimedes Principle.gif""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/fluids/buoyant-force-and-archimedes-principle/v/fluids-part-5"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
<div><img src=""Volumetric Flow Rate.png""></div><div><br></div><div>Give the equation for <b>volumetric flow rate</b>:</div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Volumetric&#x20;Flow&#x20;Rate&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Equations MileDown::Physics::Fluids::Equations</div>
    <div><img src=""Volumetric Flow Rate.png""></div><div><br></div><div>Give the equation for <b>volumetric flow rate</b>:</div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Volumetric Flow Rate Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>The&nbsp;volume&nbsp;of fluid which passes per unit time<br></div><div><br></div><div><img src=""Volumetric Flow Rate 2.jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/fluids/fluid-dynamics/v/fluids-part-7"">Khan Academy</a><br></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Electrostatics::Equations MileDown::Physics::Equations</div>
<div><img src=""Force Between Two Charges.png""></div><div><br></div><div>Give the equation for <b>potential energy of a charged particle in an electric field</b>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Force&#x20;Between&#x20;Two&#x20;Charges&#x20;Complete&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Electrostatics::Equations MileDown::Physics::Equations</div>
    <div><img src=""Force Between Two Charges.png""></div><div><br></div><div>Give the equation for <b>potential energy of a charged particle in an electric field</b>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Force Between Two Charges Complete.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div>Potential energy = (charge of particle) x (electric potential)</div><div><br></div><div><a href=""https://www.khanacademy.org/science/physics/electric-charge-electric-force-and-voltage/electric-potential-voltage/v/electric-potential-at-a-point-in-space"">Khan Academy Link</a></div></div>
</div>"
"<div id=""kard"">
<div class=""tags"">MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Electrostatics::Equations MileDown::Physics::Equations</div>
<div><img src=""Force (1).png""></div><div><br></div><div>Give the equation for the <u>force between two charged particles</u>:<br></div><div><br></div><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;Coulomb&#x27;s&#x20;Law&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span></div>
</div>"	"<div id=""kard"">
    <div class=""tags"" id='tags'>MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Physics MileDown::Physics::Electrostatics::Equations MileDown::Physics::Equations</div>
    <div><img src=""Force (1).png""></div><div><br></div><div>Give the equation for the <u>force between two charged particles</u>:<br></div><div><br></div><div><span class=""cloze"" data-ordinal=""1""><img src=""Coulomb's Law.png""></span></div>
    <div>&nbsp;</div>
    <div id='extra'><div><img src=""Coulomb's Law 2 (3).jpg""></div><div><br></div><div><a href=""https://www.khanacademy.org/science/ap-physics-1/ap-electric-charge-electric-force-and-voltage/coulombs-law-and-electric-force-ap/v/coulombs-law"">Khan Academy Link</a><br></div></div>
</div>"
